Name,Gender,Usage,Meaning
HOLDEN,m,English (Modern),"From a surname that was originally derived from a place name meaning ""deep valley"" in Old English. This is the name of the main character in J. D. Salinger's novel The Catcher in the Rye (1951), Holden Caufield."
HOLLIE,f,English,Variant of HOLLY.
HOLLIS,m & f,English,"From an English surname that was derived from Middle English holis ""holly trees"". It was originally given to a person who lived near a group of those trees."
HOLLY,f,English,"From the English word for the holly tree, ultimately derived from Old English holen."
HOMER,m,"English, Ancient Greek (Anglicized)","From the Greek name Ὅμηρος (Homeros), derived from ὅμηρος (homeros) meaning ""hostage, pledge"". Homer was the Greek epic poet who wrote the Iliad, about the Trojan War, and the Odyssey, about Odysseus's journey home after the war. There is some debate about when he lived, or if he was even a real person, though most scholars place him in the 8th century BC. In the modern era, Homer has been used as a given name in the English-speaking world (chiefly in America) since the 18th century. This name is borne by the cartoon father on the television series The Simpsons."
HONEY,f,English (Rare),"Simply from the English word honey, ultimately from Old English hunig. This was originally a nickname for a sweet person."
HONOR,f & m,English (Rare),"Variant of HONOUR, using the American spelling."
HONORA,f,"Irish, English",Variant of HONORIA. It was brought to England and Ireland by the Normans.
HONOUR,f,English (Rare),"From the English word honour, which is of Latin origin. This was one of the virtue names adopted by the Puritans in the 17th century. It can also be viewed as a form of HONORIA or HONORATA, which are ultimately derived from the same source."
HOPE,f,English,"From the English word hope, ultimately from Old English hopian. This name was first used by the Puritans in the 17th century."
HORACE,m,"English, French","English and French form of HORATIUS, and the name by which the Roman poet Quintus Horatius Flaccus is commonly known those languages. In the modern era it has been used as a given name since the Renaissance, in honour of the poet."
HORATIO,m,English,"Variant of HORATIUS. It was borne by the British admiral Horatio Nelson (1758-1805), famous for his defeat of Napoleon's forces in the Battle of Trafalgar, in which he was himself killed. Since his time the name has been occasionally used in his honour."
HORTENSE,f,"French, English",French form of HORTENSIA.
HOUSTON,m,English,"From a Scottish surname meaning ""HUGH's town"". The original Houston is in Scotland near Glasgow, but this is also the name of a city in Texas, named after the Texas president Sam Houston (1793-1863)."
HOWARD,m,English,"From an English surname that can derive from several different sources: the Anglo-Norman given name Huard, which was from the Germanic name HUGHARD; the Anglo-Scandinavian given name Haward, from the Old Norse name HÁVARÐR; or the Middle English term ewehirde meaning ""ewe herder"". This is the surname of a British noble family, members of which have held the title Duke of Norfolk from the 15th century to the present. A famous bearer of the given name was the American industrialist Howard Hughes (1905-1976)."
HOWIE,m,English,Diminutive of HOWARD.
HOYT,m,English,"From an English surname that was derived from Middle English hoit ""stick"", originally a nickname for a thin person."
HUBERT,m,"English, German, Dutch, French, Polish, Ancient Germanic","Means ""bright heart"", derived from the Germanic elements hug ""heart, mind"" and beraht ""bright"". Saint Hubert was an 8th-century bishop of Maastricht who is considered the patron saint of hunters. The Normans brought the name to England, where it replaced an Old English cognate Hygebeorht. It died out during the Middle Ages but was revived in the 19th century."
HUDSON,m,English,"From an English surname meaning ""son of HUDDE"". A famous bearer of the surname was the English explorer Henry Hudson (1570-1611)."
HUEY,m,English,Variant of HUGHIE.
HUGH,m,English,"From the Germanic element hug meaning ""heart, mind, spirit"". It was common among Frankish and French nobility, being borne by Hugh Capet, a 10th-century king of France who founded the Capetian dynasty. The Normans brought the name to England and it became common there, even more so after the time of the 12th-century bishop Saint Hugh of Lincoln, who was known for his charity. This was also the name of kings of Cyprus and the crusader kingdom of Jerusalem. The name is used in Ireland and Scotland as the Anglicized form of Aodh and Ùisdean."
HUGHIE,m,English,Diminutive of HUGH.
HUGO,m,"Spanish, Portuguese, English, Dutch, German, French, Swedish, Norwegian, Danish, Ancient Germanic (Latinized)","Latinized form of HUGH. As a surname it has belonged to the French author Victor Hugo (1802-1885), the writer of The Hunchback of Notre Dame and Les Misérables."
HUMBERT,m,"French, German (Rare), English (Rare), Ancient Germanic","Means ""bright warrior"", derived from the Germanic elements hun ""warrior, bear cub"" and beraht ""bright"". The Normans introduced this name to England, though it has always been uncommon there. It was borne by two kings of Italy (called Umberto in Italian), who ruled in the 19th and 20th centuries."
HUMPHREY,m,English,"Means ""peaceful warrior"" from the Germanic elements hun ""warrior, bear cub"" and frid ""peace"". The Normans introduced this name to England, where it replaced the Old English cognate Hunfrith, and it was regularly used through the Middle Ages. A famous bearer was the American actor Humphrey Bogart (1899-1957), who starred in The Maltese Falcon and Casablanca."
HUMPHRY,m,English (Rare),Variant of HUMPHREY.
HUNTER,m & f,English,"From an occupational English surname for a hunter, derived from Old English hunta. A famous bearer was the eccentric American journalist Hunter S. Thompson (1937-2005)."
HUXLEY,m,English (Modern),"From an English surname that was derived from the name of a town in Cheshire. The final element is Old English leah ""woodland, clearing"", while the first element might be hux ""insult, scorn"". A famous bearer of the surname was the British author Aldous Huxley (1894-1963)."
HYACINTH (2),f,English (Rare),"From the name of the flower (or the precious stone that also bears this name), ultimately from Greek hyakinthos (see HYACINTHUS)."
HYLDA,f,English (Rare),Variant of HILDA.
HYRAM,m,English (Rare),Variant of HIRAM.
HYRUM,m,English (Rare),"Variant of HIRAM. This name was borne by Hyrum Smith (1800-1844), an early leader within the Mormon Church."
IAN,m,"Scottish, English",Scottish form of JOHN.
IBBIE,f,English,Diminutive of ISABEL.
IDA,f,"English, German, Swedish, Norwegian, Danish, Dutch, Italian, Polish, Hungarian, Ancient Germanic","Derived from the Germanic element id meaning ""work, labour"". The Normans brought this name to England, though it eventually died out there in the Middle Ages. It was strongly revived in the 19th century, in part due to the heroine in Alfred Lord Tennyson's poem The Princess (1847), which was later adapted into the play Princess Ida (1884) by Gilbert and Sullivan.... [more]"
IDELLA,f,English,Elaboration of IDA.
IDELLE,f,English (Rare),Elaboration of IDA.
IDONEA,f,English (Archaic),"Medieval English name, probably a Latinized form of IÐUNN. The spelling may have been influenced by Latin idonea ""suitable"". It was common in England from the 12th century."
IDONY,f,English (Archaic),Medieval English vernacular form of IDONEA.
IGGY,m,English,Diminutive of IGNATIUS.
IKE,m,English,"Diminutive of ISAAC. This was the nickname of the American president Dwight D. Eisenhower (1890-1969), based on the initial sound of his surname."
ILBERT,m,English (Rare),From an English surname that was derived from the Germanic given name HILDEBERT.
ILEAN,f,English (Rare),Variant of EILEEN.
ILEEN,f,English (Rare),Variant of EILEEN.
ILENE,f,English,"Variant of EILEEN, probably inspired by the spelling of Irene."
IMOGEN,f,English (British),"The name of a princess in the play Cymbeline (1609) by Shakespeare. He based her on a legendary character named Innogen, but the name was printed incorrectly and never corrected. The name Innogen is probably derived from Gaelic inghean meaning ""maiden""."
IMOGENE,f,English,Variant of IMOGEN.
INA,f,"German, Dutch, Norwegian, Danish, Swedish, English, Limburgish, Slovene, Latvian",Short form of names ending with or otherwise containing ina.
INDIA,f,English,"From the name of the country, which is itself derived from the name of the Indus River. The river's name is ultimately from Sanskrit सिन्धु (Sindhu) meaning ""body of trembling water, river""."
INDIANA,f & m,English,"From the name of the American state, which means ""land of the Indians"". This is the name of the hero in the Indiana Jones series of movies, starring Harrison Ford."
INDIE,f,English (Modern),"Possibly a diminutive of INDIA or INDIANA, but also likely inspired by the term indie, short for independent, which is typically used to refer to media produced outside of the mainstream."
INDIGO,f & m,English (Rare),"From the English word indigo for the purplish-blue dye or the colour. It is ultimately derived from Greek Ἰνδικὸν (Indikon) meaning ""Indic, from India""."
INDY (2),f,"English (Rare), Dutch (Modern)",Variant of INDIE.
INEZ,f,English,English form of INÉS.
INGRAM,m,English,From an English surname that was derived from the Norman French given name ENGUERRAND.
INIGO,m,English (Rare),"English form of ÍÑIGO. It became well-known in Britain due to the 17th-century English architect Inigo Jones. He was named after his father, a Catholic who was named for Saint Ignatius of Loyola."
IOLA,f,English,Probably a variant of IOLE.
IONA (1),f,"English, Scottish","From the name of the island off Scotland where Saint Columba founded a monastery. The name of the island is Old Norse in origin, and apparently derives simply from ey meaning ""island""."
IONE,f,"Greek Mythology, English","From Ancient Greek ἴον (ion) meaning ""violet flower"". This was the name of a sea nymph in Greek mythology. It has been used as a given name in the English-speaking world since the 19th century, though perhaps based on the Greek place name Ionia, a region on the west coast of Asia Minor."
IRA (1),m,"Biblical, English, Hebrew","Means ""watchful"" in Hebrew. In the Old Testament this is the name of King David's priest. As an English Christian given name, Ira began to be used after the Protestant Reformation. In the 17th century the Puritans brought it to America, where remained moderately common into the 20th century."
IRELAND,f,English (Modern),"From the name of the European island country, derived from Irish Gaelic Éire, which may mean something like ""abundant land"" in Old Irish."
IRENE,f,"English, Italian, Spanish, Portuguese, Swedish, Norwegian, Danish, Finnish, German, Dutch, Ancient Greek (Latinized), Greek Mythology (Latinized)","From Greek Εἰρήνη (Eirene), derived from a word meaning ""peace"". This was the name of the Greek goddess who personified peace, one of the Ὥραι (Horai). It was also borne by several early Christian saints. The name was common in the Byzantine Empire, notably being borne by an 8th-century empress, who was the first woman to lead the empire. She originally served as regent for her son, but later had him killed and ruled alone.... [more]"
IRIS,f,"Greek Mythology, English, German, Dutch, Swedish, Norwegian, Danish, Finnish, French, Spanish, Catalan, Italian, Greek","Means ""rainbow"" in Greek. Iris was the name of the Greek goddess of the rainbow, also serving as a messenger to the gods. This name can also be given in reference to the word (which derives from the same Greek source) for the iris flower or the coloured part of the eye."
IRMA,f,"German, English, Dutch, Finnish, Spanish, Italian, Georgian, Lithuanian, Hungarian, Ancient Germanic","German short form of names beginning with the Germanic element ermen, which meant ""whole, universal"". It is thus related to EMMA. It began to be regularly used in the English-speaking world in the 19th century."
IRVIN,m,English,From a surname that was a variant of either IRVING or IRWIN.
IRVINE,m,"English, Scottish",Variant of IRVING.
IRVING,m,"English, Scottish, Jewish","From a Scottish surname that was in turn derived from a Scottish place name meaning ""green water"". Historically this name has been relatively common among Jews, who have used it as an American-sounding form of Hebrew names beginning with I such as Isaac, Israel and Isaiah. A famous bearer was the Russian-American songwriter and lyricist Irving Berlin (1888-1989), whose birth name was Israel Beilin."
IRWIN,m,English,From an English surname that was derived from the Old English given name EOFORWINE.
ISAAC,m,"English, Spanish, Catalan, Jewish, Biblical, Biblical Latin","From the Hebrew name יִצְחָק (Yitzchaq) meaning ""he will laugh, he will rejoice"", derived from צָחַק (tzachaq) meaning ""to laugh"". The Old Testament explains this meaning, by recounting that Abraham laughed when God told him that his aged wife Sarah would become pregnant with Isaac (see Genesis 17:17), and later Sarah laughed when overhearing the same prophecy (see Genesis 18:12). When Isaac was a boy, God tested Abraham's faith by ordering him to sacrifice his son, though an angel prevented the act at the last moment. Isaac went on to become the father of Esau and Jacob with his wife Rebecca.... [more]"
ISABEL,f,"Spanish, Portuguese, English, French, German, Dutch","Medieval Occitan form of ELIZABETH. It spread throughout Spain, Portugal and France, becoming common among the royalty by the 12th century. It grew popular in England in the 13th century after Isabella of Angoulême married the English king John, and it was subsequently bolstered when Isabella of France married Edward II the following century.... [more]"
ISABELLA,f,"Italian, German, English, Swedish, Danish, Norwegian, Finnish, Dutch, Romanian","Latinate form of ISABEL. This name was borne by many medieval royals, including queen consorts of England, France, Portugal, the Holy Roman Empire and Hungary, as well as the powerful ruling queen Isabella of Castile (properly called Isabel).... [more]"
ISABELLE,f,"French, English, German, Dutch",French form of ISABEL.
ISADOR,m,English (Rare),Variant of ISIDORE.
ISADORA,f,English,Variant of ISIDORA. A famous bearer was the American dancer Isadora Duncan (1877-1927).
ISADORE,m,English,Variant of ISIDORE.
ISAIAH,m,"English, Biblical","From the Hebrew name יְשַׁעְיָהוּ (Yesha'yahu) meaning ""YAHWEH is salvation"", from the roots יָשַׁע (yasha') meaning ""to save"" and יָה (yah) referring to the Hebrew God. Isaiah is one of the four major prophets of the Old Testament, supposedly the author of the Book of Isaiah. He was from Jerusalem and probably lived in the 8th century BC, at a time when Assyria threatened the Kingdom of Judah. As an English Christian name, Isaiah was first used after the Protestant Reformation."
ISBEL,f,English (Rare),Variant of ISABEL.
ISEBELLA,f,English (Rare),Variant of ISABELLA.
ISIAH,m,English,Variant of ISAIAH.
ISIDORA,f,"Spanish, Portuguese, Serbian, Russian (Rare), Italian (Rare), English (Rare), Ancient Greek",Feminine form of ISIDORE. This was the name of a 4th-century Egyptian saint and hermitess.
ISIDORE,m,"English, French, Georgian (Rare), Jewish","From the Greek name Ἰσίδωρος (Isidoros) meaning ""gift of Isis"", derived from the name of the Egyptian goddess ISIS combined with Greek δῶρον (doron) meaning ""gift"". Saint Isidore of Seville was a 6th-century archbishop, historian and theologian.... [more]"
ISLA,f,"Scottish, English","Variant of ISLAY, typically used as a feminine name. It also coincides with the Spanish word isla meaning ""island""."
ISOLDE,f,"English (Rare), German, Arthurian Romance","The origins of this name are uncertain, though some Celtic roots have been suggested. It is possible that the name is ultimately Germanic, perhaps from a hypothetic name like Ishild, composed of the elements is ""ice, iron"" and hild ""battle"".... [more]"
ISRAEL,m,"Jewish, English, Biblical, Biblical Greek","From the Hebrew name יִשְׂרָאֵל (Yisra'el) meaning ""God contends"", from the roots שָׂרָה (sarah) meaning ""to contend, to fight"" and אֵל ('el) meaning ""God"". In the Old Testament, Israel (who was formerly named Jacob; see Genesis 32:28) wrestles with an angel. The ancient and modern states of Israel took their names from him."
ISSAC,m,English,Variant of ISAAC.
ISSY,m & f,English,"Diminutive of ISIDORE, ISABELLA and other names beginning with Is."
IVAN,m,"Russian, Bulgarian, Ukrainian, Belarusian, Serbian, Croatian, Czech, Slovak, Macedonian, Slovene, English, Italian, Romanian, Danish, Swedish, Norwegian","Newer form of the old Slavic name Іѡаннъ (Ioannu), which was derived from Greek Ioannes (see JOHN). This was the name of six Russian rulers, including the 15th-century Ivan III the Great and 16th-century Ivan IV the Terrible, the first tsar of Russia. It was also borne by nine emperors of Bulgaria. Other notable bearers include the Russian author Ivan Turgenev (1818-1883), who wrote Fathers and Sons, and the Russian physiologist Ivan Pavlov (1849-1936), who is best known for his discovery of the conditioned reflex."
IVOR,m,"Irish, Scottish, Welsh, English (British)","From the Old Norse name Ívarr, which was derived from the elements yr ""yew, bow"" and arr ""warrior"". During the Middle Ages it was brought to Britain by Scandinavian settlers and invaders, and it was adopted in Ireland, Scotland and Wales."
IVY,f,English,From the English word for the climbing plant that has small yellow flowers. It is ultimately derived from Old English ifig.
IZABELLE,f,English (Modern),Variant of ISABEL.
IZZY,m & f,English,"Diminutive of ISIDORE, ISABEL, ISRAEL, and other names beginning with a similar sound."
JACE,m,English,Short form of JASON.
JACI (1),f,English,Diminutive of JACQUELINE.
JACINDA,f,English (Rare),Variant of JACINTA.
JACINTH,f,English (Rare),"From the English word for the orange precious stone, originating from the same source as Hyacinth."
JACK,m,English,"Derived from Jackin (earlier Jankin), a medieval diminutive of JOHN. There could be some early influence from the unrelated French name JACQUES. It is often regarded as an independent name. During the Middle Ages it was very common, and it became a slang word meaning ""man"". It was frequently used in fairy tales and nursery rhymes, such as Jack and the Beanstalk, Little Jack Horner, and Jack Sprat.... [more]"
JACKALYN,f,English (Rare),Variant of JACQUELINE.
JACKI,f,English,Diminutive of JACQUELINE.
JACKIE,m & f,English,"Diminutive of JACK or JACQUELINE. A notable bearer was baseball player Jackie Robinson (1919-1972), the first African American to play in Major League Baseball."
JACKLYN,f,English,Variant of JACQUELINE.
JACKSON,m,English,"From an English surname meaning ""son of JACK"". A famous bearer of the surname was American president Andrew Jackson (1767-1845)."
JACLYN,f,English,Contracted variant of JACQUELINE.
JACOB,m,"English, Dutch, Swedish, Norwegian, Danish, Jewish, Biblical","From the Latin Iacob, which was from the Greek Ἰακώβ (Iakob), which was from the Hebrew name יַעֲקֹב (Ya'aqov). In the Old Testament Jacob (later called Israel) is the son of Isaac and Rebecca and the father of the twelve founders of the twelve tribes of Israel. He was born holding his twin brother Esau's heel, and his name is explained as meaning ""holder of the heel"" or ""supplanter"", because he twice deprived his brother of his rights as the firstborn son (see Genesis 27:36). Other theories claim that it is in fact derived from a hypothetical name like יַעֲקֹבְאֵל (Ya'aqov'el) meaning ""may God protect"".... [more]"
JACQUELINE,f,"French, English","French feminine form of JACQUES, also commonly used in the English-speaking world."
JACQUELYN,f,English,Variant of JACQUELINE.
JACQUETTA,f,English (British),Feminine diminutive of JACQUES.
JACQUI,f,English (British),Short form of JACQUELINE.
JADA (1),f,English,"Possibly an elaborated form of JADE. This name came into general use in the 1960s, and was popularized in the 1990s by actress Jada Pinkett Smith (1971-)."
JADE,f & m,"English, French","From the name of the precious stone that is often used in carvings. It is derived from Spanish (piedra de la) ijada meaning ""(stone of the) flank"", relating to the belief that jade could cure renal colic. As a given name, it came into general use during the 1970s. It was initially unisex, though it is now mostly feminine."
JADEN,m & f,English (Modern),"An invented name, using the popular den suffix sound found in such names as Braden, Hayden and Aidan. This name first became common in American in the 1990s when similar-sounding names were increasing in popularity. It is sometimes considered a variant of JADON."
JADYN,f & m,English (Modern),Variant of JADEN.
JAE (2),m & f,English (Rare),Variant of JAY (1).
JAIDA,f,English (Modern),Variant of JADA (1).
JAIDEN,m & f,English (Modern),Variant of JADEN.
JAIME (2),f,English,"Variant of JAMIE. The character Jaime Sommers from the television series The Bionic Woman (1976-1978) helped to popularize the name. It can sometimes be given in reference to the French phrase j'aime meaning ""I love"", though it is pronounced differently."
JAIMIE,f,English,Variant of JAMIE.
JAKE,m,English,Medieval variant of JACK. It is also sometimes used as a short form of JACOB.
JAKI,f,English (Rare),Diminutive of JACQUELINE.
JAKKI,f,English (Rare),Diminutive of JACQUELINE.
JAMES,m,"English, Biblical","English form of the Late Latin name Iacomus, a variant of the Biblical Latin form Iacobus, from the Hebrew name Ya'aqov (see JACOB). This was the name of two apostles in the New Testament. The first was Saint James the Greater, the apostle John's brother, who was beheaded under Herod Agrippa in the Book of Acts. The second was James the Lesser, son of Alphaeus. Another James (known as James the Just) is also mentioned in the Bible as being the brother of Jesus.... [more]"
JAMESON,m,English,"From an English surname meaning ""son of JAMES""."
JAMEY,m & f,English,Variant of JAMIE.
JAMI (1),f,English,Variant of JAMIE.
JAMIE,m & f,"Scottish, English",Originally a Lowland Scots diminutive of JAMES. Since the late 19th century it has also been used as a feminine form.
JAMISON,m,English,"From an English surname meaning ""son of JAMES""."
JAN (2),f,English,"Short form of JANET, JANICE, and other names beginning with Jan."
JANAE,f,English (Modern),Elaborated form of JANE.
JANE,f,English,"Medieval English form of Jehanne, an Old French feminine form of Iohannes (see JOHN). This became the most common feminine form of John in the 17th century, surpassing Joan. In the first half of the 20th century Joan once again overtook Jane for a few decades in both the United States and the United Kingdom.... [more]"
JANEKA,f,English (Rare),Diminutive of JANE.
JANEL,f,English,Variant of JANELLE.
JANELE,f,English (Rare),Variant of JANELLE.
JANELLA,f,English (Rare),Variant of JANELLE.
JANELLE,f,English,Diminutive of JANE. It has been in use only since the 20th century.
JANENE,f,English,Variant of JANINE.
JANESSA,f,English (Modern),"Elaborated form of JANE, influenced by VANESSA."
JANET,f,English,Medieval diminutive of JANE.
JANETTA,f,English (Rare),Elaborated form of JANET.
JANETTE,f,English,Variant of JANET.
JANEY,f,English,Diminutive of JANE.
JANICE,f,English,"Elaborated form of JANE, created by Paul Leicester Ford for his novel Janice Meredith (1899)."
JANIE,f,English,Diminutive of JANE.
JANINE,f,"French, English, Dutch, German",Variant of JEANNINE. It has only been in use since the 20th century.
JANIS,f,English,Variant of JANICE.
JANNA,f,"Dutch, Swedish, Finnish, English","Feminine form of JAN (1). As an English name, it is an elaboration of JAN (2)."
JANNAH,f,English (Rare),"Variant of JANNA, influenced by HANNAH."
JANNETTE,f,English,Variant of JANET.
JANNINE,f,English (Rare),Variant of JANINE.
JAQUELINE,f,"English (Modern), Portuguese (Brazilian)",Variant of JACQUELINE.
JAQUELYN,f,English (Rare),Variant of JACQUELINE.
JARED,m,"English, Biblical","From the Hebrew name יָרֶד (Yared) or יֶרֶד (Yered) meaning ""descent"". This is the name of a close descendant of Adam in the Old Testament. It has been used as an English name since the Protestant Reformation, and it was popularized in the 1960s by the character Jarrod Barkley on the television series The Big Valley."
JAROD,m,English,Variant of JARED.
JARON (2),m,English (Modern),"Invented name, probably based on JARED and DARREN."
JARRED,m,English,Variant of JARED.
JARRETT,m,English,From a surname that was a variant of GARRETT.
JARROD,m,English,Variant of JARED.
JARVIS,m,English,From a surname that was derived from the given name GERVAIS.
JASE,m,English (Modern),Short form of JASON.
JASLYN,f,English (Modern),Variant of JAZLYN.
JASMIN (1),f,"German, Finnish, English","German and Finnish form of JASMINE, as well as an English variant."
JASMINE,f,"English, French","From the English word for the climbing plant with fragrant flowers that is used for making perfumes. It is derived via Arabic from Persian یاسمین (yasamin), which is also a Persian name."
JASMYN,f,English (Modern),Variant of JASMINE.
JASON,m,"English, French, Greek Mythology (Anglicized), Biblical","From the Greek name Ἰάσων (Iason) meaning ""healer"", derived from Greek ἰάομαι (iaomai) meaning ""to heal"". In Greek mythology Jason was the leader of the Argonauts. After his uncle Pelias overthrew his father Aeson as king of Iolcos, Jason went in search of the Golden Fleece in order to win back the throne. During his journeys he married the sorceress Medea, who helped him gain the fleece and kill his uncle, but who later turned against him when he fell in love with another woman.... [more]"
JASPER,m,"English, Dutch, Judeo-Christian Legend","From Latin Gaspar, perhaps from the biblical Hebrew word גִּזְבָּר (gizbar) meaning ""treasurer"", derived from Persian ganzabara. This name was traditionally assigned to one of the wise men (also known as the Magi, or three kings) who were said to have visited the newborn Jesus. It has occasionally been used in the English-speaking world since the Middle Ages. The name can also be given in reference to the English word for the gemstone."
JAX,m,English (Modern),Short form of JACKSON.
JAXON,m,English (Modern),Variant of JACKSON.
JAXSON,m,English (Modern),Variant of JACKSON.
JAXTON,m,English (Modern),Variant of JAXON influenced by similar-sounding names such as Paxton and Braxton.
JAXTYN,m,English (Modern),Variant of JAXTON.
JAXX,m,English (Modern),Short form of JACKSON.
JAY (1),m,English,"Short form of names beginning with the sound J, such as JAMES or JASON. It was originally used in America in honour of founding father John Jay (1749-1825), whose surname was derived from the jaybird."
JAYCE,m,English,Short form of JASON.
JAYCEON,m,English (Modern),Variant of JASON.
JAYCOB,m,English (Modern),Variant of JACOB.
JAYDA,f,English (Modern),Variant of JADA (1).
JAYDE,f,English (Modern),Variant of JADE.
JAYDEN,m & f,English (Modern),"Variant of JADEN. This spelling continued to rapidly rise in popularity in the United States past 2003, unlike Jaden, which stalled. It peaked at the fourth rank for boys in 2010, showing tremendous growth over only two decades. It has since declined."
JAYDON,m,English (Modern),Variant of JADEN.
JAYE,f & m,English,Variant or feminine form of JAY (1).
JAYLA,f,English (Modern),Combination of JAY (1) and the popular name suffix la.
JAYLAH,f,English (Modern),Combination of JAY (1) and the popular name suffix lah.
JAYLEE,f,English (Modern),Combination of JAY (1) and LEE.
JAYLEN,m & f,"African American (Modern), English (Modern)",Variant of JALEN. It can also be a feminine elaboration of JAY (1).
JAYLENE,f,English (Modern),Feminine elaboration of JAY (1) using the popular suffix lene.
JAYLIN,m & f,"African American (Modern), English (Modern), Dutch (Modern)",Variant of JALEN. It can also be a feminine elaboration of JAY (1).
JAYLYN,f,English (Modern),Feminine elaboration of JAY (1) using the popular suffix lyn.
JAYLYNN,f,English (Modern),Feminine elaboration of JAY (1) using the popular suffix lynn.
JAYMA,f,English (Rare),Variant of JAMIE.
JAYME,f & m,English,Variant of JAMIE.
JAYMES,m,English (Modern),Variant of JAMES.
JAYNA,f,English (Rare),Variant of JANE.
JAYNE,f,English,Variant of JANE.
JAYNIE,f,English,Diminutive of JAYNE.
JAYSON,m,English,Variant of JASON.
JAZLYN,f,English (Modern),"Modern name, a combination of the popular name elements Jaz and lyn."
JAZMIN,f,English (Modern),Variant of JASMINE.
JAZMINE,f,English (Modern),Variant of JASMINE.
JAZMYN,f,English (Modern),Variant of JASMINE.
JEAN (2),f,"English, Scottish","Medieval English variant of Jehanne (see JANE). It was common in England and Scotland during the Middle Ages, but eventually became rare in England. It was reintroduced to the English-speaking world from Scotland in the 19th century."
JEANA,f,English,Variant of JEAN (2) or GINA.
JEANE,f,English,Variant of JEAN (2).
JEANETTE,f,"French, English, Danish, Swedish, Norwegian, Dutch",Variant of JEANNETTE.
JEANIE,f,English,Diminutive of JEAN (2).
JEANINE,f,"French, English, Dutch",Variant of JEANNINE.
JEANNA,f,English,Variant of JEAN (2) or GINA.
JEANNE,f,"French, English","Modern French form of Jehanne, an Old French feminine form of Iohannes (see JOHN). This has been the most reliably popular French name for girls since the 13th century. Joan of Arc is known as Jeanne d'Arc in France."
JEANNETTE,f,"French, English, Dutch",French diminutive of JEANNE.
JEANNIE,f,English,Diminutive of JEANNE.
JEANNINE,f,"French, English",Diminutive of JEANNE.
JEB,m,English,"Sometimes a diminutive of JACOB. This name may have also resulted from a nickname of James Ewell Brown Stuart (1833-1864), a Confederate general in the American Civil War, which was formed from the initial letters of his three given names."
JED,m,English,Short form of JEDIDIAH.
JEFF,m,English,Short form of JEFFREY.
JEFFERSON,m,English,"From an English surname meaning ""son of JEFFREY"". It is usually given in honour of Thomas Jefferson (1743-1826), the third president of the United States and the primary author of the Declaration of Independence."
JEFFERY,m,English,Variant of JEFFREY.
JEFFREY,m,English,"Medieval variant of GEOFFREY. In America, Jeffrey has been more common than Geoffrey, though this is not true in Britain."
JEFFRY,m,English,Variant of JEFFREY.
JEM,m,English,Diminutive of JEREMY (and formerly of JAMES).
JEMIMA,f,"Biblical, English","Means ""dove"" in Hebrew. This was the oldest of the three daughters of Job in the Old Testament. As an English name, Jemima first became common during the Puritan era."
JEMMA,f,English (British),Variant of GEMMA.
JEMMY,m,English,Diminutive of JEREMY (and formerly of JAMES).
JEN,f,English,Short form of JENNIFER.
JENA,f,English,Diminutive of JENNIFER.
JENAE,f,English (Rare),Diminutive of JENNIFER.
JENELLE,f,English,Combination of JEN and the popular name suffix elle.
JENESSA,f,English (Rare),Combination of JEN and the popular name suffix essa.
JENI,f,English (Modern),Variant of JENNY.
JENIFER,f,"English, Spanish, Cornish",Variant of JENNIFER.
JENN,f,English,Short form of JENNIFER.
JENNA,f,"English, Finnish",Variant of JENNY. Use of the name was popularized in the 1980s by the character Jenna Wade on the television series Dallas.
JENNI,f,"English, Finnish",Variant of JENNY.
JENNICA,f,English (Rare),Combination of JENNIFER and JESSICA.
JENNIE,f,"English, Swedish",Variant of JENNY. Before the 20th century this spelling was more common.
JENNIFER,f,"English, German, Dutch, Swedish, Spanish","From a Cornish form of the Welsh name Gwenhwyfar (see GUINEVERE). This name has only been common outside of Cornwall since the beginning of the 20th century, after it was featured in George Bernard Shaw's play The Doctor's Dilemma (1906). It barely ranked in the United until the late 1930s, when it began steadily growing in popularity, accelerating into the early 1970s. It was the most popular name for girls in America between 1970 and 1984, though it was not as common in the United Kingdom.... [more]"
JENNY,f,"English, Swedish, Finnish, German, Dutch, Spanish",Originally a medieval English diminutive of JANE. Since the middle of the 20th century it has been primarily considered a diminutive of JENNIFER.
JENSEN,m,English (Modern),"From a Danish surname meaning ""son of JENS""."
JENSON,m,English (Modern),Variant of JENSEN.
JEP,m,English (Archaic),Medieval diminutive of GEOFFREY.
JEPSON,m,English (Rare),"From an English surname that meant ""son of JEP""."
JEPTHA,m,English (Archaic),Variant of JEPHTHAH.
JERALD,m,English,Variant of GERALD.
JERE,m,"Finnish, Croatian, English","Finnish diminutive of JEREMIAS (usually used independently), as well as a Croatian diminutive of JERONIM and an English diminutive of JERALD or JEREMIAH."
JEREMIAH,m,"English, Biblical","From the Hebrew name יִרְמְיָהוּ (Yirmiyahu) meaning ""YAHWEH will exalt"", from the roots רוּם (rum) meaning ""to exalt"" and יָה (yah) referring to the Hebrew God. This is the name of one of the major prophets of the Old Testament, the author of the Book of Jeremiah and the Book of Lamentations (supposedly). He lived to see the Babylonian destruction of Jerusalem in the 6th century BC.... [more]"
JEREMY,m,"English, Biblical","Medieval English form of JEREMIAH, and the form used in some English versions of the New Testament."
JERI,f,English,Variant of JERRY.
